country,score,upper,lower,gdp_explained,ss_explained,hle_explained,fmlc_explained,gen_explained,pc_explained,dystopia_residual,year,rank,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total,_merge
Finland,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,2024,1.0,Finland,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,4.0,16.0,60.0,100.0,both
Denmark,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881,2024,2.0,Denmark,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,3.0,4.0,3.0,14.0,4.0,4.0,3.0,4.0,15.0,57.0,97.0,both
Iceland,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05,2024,3.0,Iceland,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,4.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,57.0,94.0,both
Sweden,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,2024,4.0,Sweden,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,4.0,15.0,4.0,4.0,4.0,4.0,16.0,59.0,99.0,both
Israel,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298,2024,5.0,Israel,Middle East,c,2024.0,F,2.0,3.0,4.0,4.0,4.0,12.0,3.0,4.0,4.0,2.0,13.0,4.0,2.0,3.0,9.0,0.0,,34.0,3.0,3.0,3.0,3.0,12.0,3.0,2.0,4.0,9.0,3.0,2.0,1.0,2.0,8.0,3.0,3.0,3.0,2.0,11.0,40.0,74.0,both
Netherlands,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,2024,6.0,Netherlands,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,3.0,11.0,0.0,,39.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,58.0,97.0,both
Norway,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,2024,7.0,Norway,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,4.0,16.0,59.0,98.0,both
Luxembourg,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,2024,8.0,Luxembourg,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,3.0,10.0,0.0,,38.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,4.0,16.0,59.0,97.0,both
Switzerland,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488,2024,9.0,Switzerland,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,12.0,0.0,,39.0,4.0,3.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,57.0,96.0,both
Australia,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,2024,10.0,Australia,Asia,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,3.0,11.0,0.0,,38.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,57.0,95.0,both
New Zealand,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,2024,11.0,New Zealand,Asia,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,4.0,16.0,59.0,99.0,both
Costa Rica,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2.333,2024,12.0,Costa Rica,Americas,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,3.0,11.0,4.0,3.0,3.0,3.0,13.0,4.0,3.0,3.0,3.0,13.0,53.0,91.0,both
Kuwait,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,2024,13.0,Kuwait,Middle East,c,2024.0,PF,5.0,5.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,4.0,0.0,,14.0,1.0,2.0,2.0,1.0,6.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,1.0,6.0,24.0,38.0,both
Austria,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,2024,14.0,Austria,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,3.0,4.0,4.0,14.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,56.0,93.0,both
Canada,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572,2024,15.0,Canada,Americas,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,3.0,11.0,0.0,,39.0,4.0,3.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,4.0,16.0,58.0,97.0,both
Belgium,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686,2024,16.0,Belgium,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,4.0,3.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,57.0,96.0,both
Ireland,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,1.239,2024,17.0,Ireland,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,4.0,4.0,4.0,16.0,58.0,97.0,both
Czechia,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858,2024,18.0,Czechia,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,2.0,3.0,9.0,0.0,,36.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,58.0,94.0,both
Lithuania,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,2024,19.0,Lithuania,Europe,c,2024.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,3.0,10.0,0.0,,38.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,3.0,11.0,3.0,3.0,3.0,2.0,11.0,4.0,4.0,3.0,3.0,14.0,51.0,89.0,both
United Kingdom,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598,2024,20.0,United Kingdom,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,3.0,3.0,4.0,10.0,0.0,,38.0,4.0,4.0,3.0,3.0,14.0,3.0,4.0,4.0,11.0,4.0,3.0,3.0,3.0,13.0,4.0,4.0,4.0,3.0,15.0,53.0,91.0,both
Slovenia,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683,2024,21.0,Slovenia,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,3.0,15.0,57.0,96.0,both
United Arab Emirates,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741,2024,22.0,United Arab Emirates,Middle East,c,2024.0,NF,7.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,,5.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,13.0,18.0,both
United States,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873,2024,23.0,United States,Americas,c,2024.0,F,2.0,2.0,3.0,4.0,3.0,10.0,4.0,4.0,3.0,3.0,14.0,3.0,3.0,3.0,9.0,0.0,,33.0,3.0,4.0,3.0,4.0,14.0,4.0,4.0,3.0,11.0,3.0,3.0,3.0,2.0,11.0,4.0,4.0,3.0,3.0,14.0,50.0,83.0,both
Germany,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513,2024,24.0,Germany,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,4.0,12.0,0.0,,39.0,4.0,3.0,4.0,3.0,14.0,3.0,4.0,4.0,11.0,4.0,4.0,3.0,3.0,14.0,4.0,4.0,4.0,3.0,15.0,54.0,93.0,both
